title,content,label
Pemerintah rilis data resmi inflasi,Badan pusat statistik merilis laporan resmi inflasi bulanan berdasarkan survei nasional dan konferensi pers kementerian.,REAL
Kementerian beri klarifikasi soal isu bantuan,Kementerian terkait memberikan klarifikasi resmi bahwa penyaluran bantuan mengikuti data terverifikasi dan audit internal.,REAL
BMKG peringatkan hujan lebat di beberapa wilayah,BMKG mengeluarkan peringatan dini cuaca berdasarkan hasil pemantauan satelit dan data stasiun pengamatan.,REAL
Universitas umumkan jadwal wisuda terbaru,Pihak kampus merilis pengumuman resmi mengenai jadwal wisuda semester ini melalui laman akademik.,REAL
Rumah sakit buka layanan vaksin tambahan,Direktur rumah sakit menjelaskan layanan vaksin dibuka berdasarkan stok dan data pendaftaran pasien.,REAL
Polisi ungkap hasil penyelidikan kecelakaan,Kepolisian menyampaikan hasil penyelidikan awal berdasarkan olah tempat kejadian perkara dan keterangan saksi.,REAL
Bank sentral pertahankan suku bunga,Bank sentral memutuskan mempertahankan suku bunga acuan dalam rapat dewan gubernur dan merilis dokumen resmi.,REAL
Dinas pendidikan ubah jadwal sekolah,Dinas pendidikan daerah menerbitkan surat edaran resmi tentang penyesuaian jadwal kegiatan belajar.,REAL
KPU tetapkan tahapan pemilu berikutnya,Komisi pemilihan umum mengumumkan tahapan berikutnya melalui konferensi pers dan dokumen keputusan resmi.,REAL
Bandara tambah jadwal penerbangan akhir pekan,Pengelola bandara menyatakan penambahan jadwal penerbangan dilakukan setelah evaluasi kepadatan penumpang.,REAL
Harga beras dipantau dinas pangan,Dinas pangan mempublikasikan data harga beras mingguan dari pasar induk dan toko resmi.,REAL
Pemda renovasi jembatan utama kota,Pemerintah daerah mengalokasikan anggaran renovasi jembatan dan mengumumkannya dalam rapat terbuka.,REAL
PLN lakukan pemeliharaan jaringan listrik,PLN menjadwalkan pemeliharaan jaringan listrik dan mengumumkan wilayah terdampak melalui kanal resmi.,REAL
KAI tambah gerbong saat libur panjang,PT KAI menambah gerbong kereta setelah melihat peningkatan jumlah penumpang berdasarkan data reservasi.,REAL
BPOM temukan produk tanpa izin edar,BPOM merilis daftar produk tanpa izin edar berdasarkan hasil pengawasan rutin di lapangan.,REAL
Cuaca panas dipicu perubahan musim,Ahli klimatologi menjelaskan suhu meningkat akibat peralihan musim dan pola angin regional.,REAL
Sekolah gelar simulasi evakuasi gempa,Pihak sekolah menyelenggarakan simulasi evakuasi gempa dengan pendampingan petugas kebencanaan.,REAL
Dinas kesehatan laporkan tren kasus demam,Dinas kesehatan menyebut tren kasus demam menurun berdasarkan rekap fasilitas kesehatan setempat.,REAL
Kementan distribusikan pupuk bersubsidi,Kementerian pertanian menjelaskan distribusi pupuk dilakukan sesuai alokasi resmi dan data kelompok tani.,REAL
Operator seluler perbaiki gangguan jaringan,Operator seluler menyampaikan gangguan layanan telah ditangani dan sistem kembali normal.,REAL
Beasiswa daerah dibuka bulan ini,Pemerintah provinsi membuka pendaftaran beasiswa melalui situs resmi dan menjelaskan syarat administratif.,REAL
Bappenas paparkan proyeksi ekonomi nasional,Bappenas memaparkan proyeksi ekonomi nasional dengan dasar data makro dan evaluasi lintas kementerian.,REAL
Stasiun TV minta maaf atas kesalahan grafis,Pihak stasiun televisi menyampaikan klarifikasi dan permintaan maaf resmi terkait kesalahan grafis siaran.,REAL
Pertamina sesuaikan harga BBM nonsubsidi,Penyesuaian harga BBM nonsubsidi diumumkan Pertamina melalui rilis resmi dan mengikuti tren minyak dunia.,REAL
Wali kota resmikan taman kota baru,Peresmian taman kota dilakukan wali kota dan tercantum dalam agenda resmi pemerintah daerah.,REAL
Viral rahasia besar pemerintah dibocorkan malam ini,Pesan berantai mengklaim ada rahasia besar dibocorkan dan masyarakat diminta segera sebarkan ke semua grup.,FAKE
Hoax vaksin menyebabkan logam menempel di tubuh,Unggahan anonim menyebut vaksin membuat logam menempel tanpa bukti ilmiah dan tanpa sumber resmi.,FAKE
Kabar mengejutkan semua rekening bank akan diblokir,Pesan viral menyatakan semua rekening akan diblokir besok jika nasabah tidak mengisi tautan tertentu.,FAKE
Konspirasi cuaca buatan picu banjir besar,Akun tidak dikenal menuduh banjir disebabkan teknologi cuaca buatan rahasia tanpa data dan tanpa verifikasi.,FAKE
Sebarkan sekarang ada bantuan tunai tanpa syarat,Postingan viral meminta warga mengirim data pribadi untuk klaim bantuan tunai tanpa sumber pemerintah.,FAKE
Video lama diklaim sebagai kerusuhan terbaru,Konten lama dibagikan ulang dan diklaim sebagai kejadian terbaru padahal konteks waktunya berbeda.,FAKE
Isu palsu artis meninggal akibat makanan tertentu,Akun gosip menyebarkan klaim artis meninggal mendadak akibat makanan tertentu tanpa konfirmasi keluarga.,FAKE
Beredar kabar sekolah libur satu bulan tanpa surat resmi,Pesan berantai menyebut sekolah libur satu bulan namun tidak ada surat edaran maupun klarifikasi resmi.,FAKE
Hoax gempa susulan lebih besar pasti terjadi malam ini,Pesan anonim mengklaim gempa susulan lebih besar pasti terjadi malam ini dan meminta warga panik.,FAKE
